ip,forecast_date,forecast_daily_volume,forecast_sent_ratio,forecast_risk_label_encoded,forecast_cumulative_volume
198.12.123.236,2026-04-17,0,0.0,2.0,291840
198.12.123.236,2026-04-18,0,0.0,2.0,291840
198.12.123.236,2026-04-19,0,0.0,2.0,291840
198.12.123.236,2026-04-20,0,0.0,2.0,291840
198.12.123.237,2026-04-14,8035732,0.0,1.882,8035732
198.12.123.237,2026-04-15,12994872,0.0,2.0,21030604
198.12.123.237,2026-04-16,17954014,0.0,2.0,38984618
198.12.123.237,2026-04-17,22913154,0.0,2.0,61897772
198.12.123.237,2026-04-18,27872296,0.0,2.0,89770068
198.12.123.237,2026-04-19,32831436,0.0,2.0,122601504
198.12.123.237,2026-04-20,37790578,0.0,2.0,160392082
198.12.123.238,2026-04-14,258702,0.0,2.0,258702
198.12.123.238,2026-04-15,33158,0.0,2.0,291860
198.12.123.238,2026-04-16,0,0.0,2.0,291860
198.12.123.238,2026-04-17,0,0.0,2.0,291860
198.12.123.238,2026-04-18,0,0.0,2.0,291860
198.12.123.238,2026-04-19,0,0.0,2.0,291860
198.12.123.238,2026-04-20,0,0.0,2.0,291860
198.12.123.239,2026-04-14,4917738,0.0,2.0,4917738
198.12.123.239,2026-04-15,7798222,0.0,2.0,12715960
198.12.123.239,2026-04-16,10678708,0.0,2.0,23394668
198.12.123.239,2026-04-17,13559192,0.0,2.0,36953860
198.12.123.239,2026-04-18,16439678,0.0,2.0,53393538
198.12.123.239,2026-04-19,19320162,0.0,2.0,72713700
198.12.123.239,2026-04-20,22200648,0.0,2.0,94914348
198.12.123.240,2026-04-14,258708,0.0,2.0,258708
198.12.123.240,2026-04-15,33172,0.0,2.0,291880
198.12.123.240,2026-04-16,0,0.0,2.0,291880
198.12.123.240,2026-04-17,0,0.0,2.0,291880
198.12.123.240,2026-04-18,0,0.0,2.0,291880
198.12.123.240,2026-04-19,0,0.0,2.0,291880
198.12.123.240,2026-04-20,0,0.0,2.0,291880
198.12.123.241,2026-04-14,3477390,0.32,1.4,3477390
198.12.123.241,2026-04-15,3477390,0.32,1.4,6954780
198.12.123.241,2026-04-16,3477390,0.32,1.4,10432170
198.12.123.241,2026-04-17,3477390,0.32,1.4,13909560
198.12.123.241,2026-04-18,3477390,0.32,1.4,17386950
198.12.123.241,2026-04-19,3477390,0.32,1.4,20864340
198.12.123.241,2026-04-20,3477390,0.32,1.4,24341730
198.12.123.242,2026-04-14,371470,0.785,1.0,371470
198.12.123.242,2026-04-15,371470,0.785,1.0,742940
198.12.123.242,2026-04-16,371470,0.785,1.0,1114410
198.12.123.242,2026-04-17,371470,0.785,1.0,1485880
198.12.123.242,2026-04-18,371470,0.785,1.0,1857350
198.12.123.242,2026-04-19,371470,0.785,1.0,2228820
198.12.123.242,2026-04-20,371470,0.785,1.0,2600290
198.12.123.243,2026-04-14,3477390,0.767,0.733,3477390
198.12.123.243,2026-04-15,3477390,0.767,0.733,6954780
198.12.123.243,2026-04-16,3477390,0.767,0.733,10432170
198.12.123.243,2026-04-17,3477390,0.767,0.733,13909560
198.12.123.243,2026-04-18,3477390,0.767,0.733,17386950
198.12.123.243,2026-04-19,3477390,0.767,0.733,20864340
198.12.123.243,2026-04-20,3477390,0.767,0.733,24341730
198.12.123.244,2026-04-14,258700,0.0,2.0,258700
198.12.123.244,2026-04-15,33160,0.0,2.0,291860
198.12.123.244,2026-04-16,0,0.0,2.0,291860
198.12.123.244,2026-04-17,0,0.0,2.0,291860
198.12.123.244,2026-04-18,0,0.0,2.0,291860
198.12.123.244,2026-04-19,0,0.0,2.0,291860
198.12.123.244,2026-04-20,0,0.0,2.0,291860
198.12.123.245,2026-04-14,4917585,0.0,2.0,4917585
198.12.123.245,2026-04-15,7797975,0.0,2.0,12715560
198.12.123.245,2026-04-16,10678365,0.0,2.0,23393925
198.12.123.245,2026-04-17,13558755,0.0,2.0,36952680
198.12.123.245,2026-04-18,16439145,0.0,2.0,53391825
198.12.123.245,2026-04-19,19319535,0.0,2.0,72711360
198.12.123.245,2026-04-20,22199925,0.0,2.0,94911285
198.12.123.246,2026-04-14,371470,1.0,0.8,371470
198.12.123.246,2026-04-15,371470,1.0,0.8,742940
198.12.123.246,2026-04-16,371470,1.0,0.8,1114410
198.12.123.246,2026-04-17,371470,1.0,0.8,1485880
198.12.123.246,2026-04-18,371470,1.0,0.8,1857350
198.12.123.246,2026-04-19,371470,1.0,0.8,2228820
198.12.123.246,2026-04-20,371470,1.0,0.8,2600290
198.12.123.247,2026-04-14,4917595,0.0,2.0,4917595
198.12.123.247,2026-04-15,7798005,0.0,2.0,12715600
198.12.123.247,2026-04-16,10678415,0.0,2.0,23394015
198.12.123.247,2026-04-17,13558825,0.0,2.0,36952840
198.12.123.247,2026-04-18,16439235,0.0,2.0,53392075
198.12.123.247,2026-04-19,19319645,0.0,2.0,72711720
198.12.123.247,2026-04-20,22200055,0.0,2.0,94911775
198.12.123.248,2026-04-14,258720,0.0,2.0,258720
198.12.123.248,2026-04-15,33220,0.0,2.0,291940
198.12.123.248,2026-04-16,0,0.0,2.0,291940
